383,8015119,Escola La Minerva,1,Públic
384,8015120,Escola Pia de Calella,2,Privat
385,8015144,Escola El Far,1,Públic
386,8015171,Institut Bisbe Sivilla,1,Públic
387,25007438,LLI privada Sant Eloi,2,Privat
388,8015193,Escola Sant Marc,1,Públic
389,8015201,L'Estel,2,Privat
390,8015247,Escola Joventut,1,Públic
391,8015259,Escola L'Alzinar - ZER Baix Montseny,1,Públic
392,8015272,Yglesias,2,Privat
393,8015296,FEDAC-Canet,2,Privat
394,8015302,Escola Misericòrdia,1,Públic
395,8015351,Escola Jacint Verdaguer,1,Públic
396,8015375,Escola l'Estelada,1,Públic
397,8015399,Escola Sant Nicolau,1,Públic
398,8015429,Mare del Diví Pastor,2,Privat
399,8015430,Escola Marquès de la Pobla,1,Públic
400,8015454,Escola Ramon Macip - Dolors Granés,1,Públic
401,8015545,Vedruna Cardona,2,Privat
402,8015582,Escola Patrocini,1,Públic
403,8015612,Escola Joan de Palà - ZER El Cardener,1,Públic
404,8015648,Escola Serra de Coll-Bas,1,Públic
405,8015651,Escola Princesa Làscaris,1,Públic
406,8015697,El Casal,2,Privat
407,8015703,FEDAC-Castellar,2,Privat
408,8015806,Escola Jaume Balmes,1,Públic
409,25009320,Llar d'infants d'Oliana,1,Públic
410,8015821,Escola Mare de Déu de Montserrat,1,Públic
411,8015831,Escola La Popa,1,Públic
412,8015843,Escola Lluís Vives,1,Públic
413,8015855,Escola Els Pins,1,Públic
414,8015867,Frangoal,2,Privat
415,8015879,Sant Ferran,2,Privat
416,8015880,La Ginesta,2,Privat
417,8015892,The British School of Barcelona,2,Privat
418,8015961,Escola Jacint Verdaguer,1,Públic
419,8016033,Escola Montanyans,1,Públic
420,8016069,Escola Coll de Gossem - ZER Tres Branques,1,Públic
421,8016070,Escola de Maians - ZER Tres Branques,1,Públic
422,8016082,Escola Sant Roc - ZER Vent d'Avall,1,Públic
423,8016094,Escola Sant Miquel,1,Públic
424,8016136,Escola Les Passeres - ZER Tres Branques,1,Públic
425,8016161,Escola El Castellot,1,Públic
426,8016173,Escola Mare de Déu de Montserrat,1,Públic
427,8016185,Escola Ildefons Cerdà,1,Públic
428,8016203,Sagrats Cors,2,Privat
429,8016240,Escola Santa Maria de Cervelló,1,Públic
430,8016264,Escola El Solell,1,Públic
431,25009332,Llar d'infants El Niu,1,Públic
432,8016291,Escola Copons - ZER Vent d'Avall,1,Públic
433,8016331,Escola Jaume Balmes,1,Públic
434,8016367,Escola Dolors Almeda,1,Públic
435,8016380,Escola Anselm Clavé,1,Públic
436,8016392,Escola Mossèn Jacint Verdaguer,1,Públic
437,8016409,Escola Montserrat,1,Públic
438,8016410,Escola Sant Ildefons,1,Públic
439,8016422,Escola Abat Oliba,1,Públic
440,8016461,El Pilar,2,Privat
441,8016501,Sant Antoni Maria Claret,2,Privat
442,8016513,Betània,2,Privat
443,8016628,Sagrada Família,2,Privat
444,8016689,Santa Eulàlia,2,Privat
445,8016744,Escola Antoni Gaudí,1,Públic
446,8016771,Escola Els Pins,1,Públic
447,8016781,Institut Esteve Terradas i Illa,1,Públic
448,8016793,Institut Francesc Macià,1,Públic
449,8016811,Escola Josep Andreu - Charlie Rivel,1,Públic
450,8016872,Escola Mare de Déu de la Muntanya,1,Públic
451,8016914,El Puig,2,Privat
452,8016926,Estel,2,Privat
453,8016938,Escola Taquígraf Garriga,1,Públic
454,8016941,Escola Isidre Martí,1,Públic
455,8017025,Garbí Pere Vergés,2,Privat
456,8017049,Utmar,2,Privat
457,8017086,Nazaret,2,Privat
458,8017104,Escola Gras i Soler,1,Públic
459,8017116,Escola Matilde Orduña,1,Públic
